Name,YT Scope Project,
File,C:\Users\sakat\OneDrive\ドキュメント\pylib_sakata\experiment\data\time_resp_2mass_20230720.csv,
Starttime of export,133343080267770000,Thursday, July 20, 2023,15:27:06.777
Endtime of export,133343080377820000,Thursday, July 20, 2023,15:27:17.782


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject
19.375,0.2798404623437506,0.026702880859375,0.2531375814843756,0.0014892465612418482,0,0
19.5,0.285291009521485,0.02288818359375,0.262402825927735,0.0015613014293016591,0,0
19.625,0.29081139750000062,0.026702880859375,0.26410851664062562,0.0015537437701996877,0,0
19.75,0.296402058583985,0.026702880859375,0.26969917772461,0.001586891469116,0,0
19.875,0.30206342484375065,0.026702880859375,0.27536054398437565,0.0016201016671056844,0,0
20,0.30779592811523504,0.034332275390625,0.27346365272461004,0.0015752514200323533,0,0
20.125,0.31360000000000066,0.026702880859375,0.28689711914062566,0.0016897834113223551,0,0
20.25,0.31947607186523508,0.030517578125,0.28895849374023508,0.0016840446492044988,0,0
20.375,0.32542457484375076,0.034332275390625,0.29109229945312576,0.0016799443309227897,0,0
20.5,0.33144593983398507,0.034332275390625,0.29711366444336007,0.0017164831882154586,0,0
20.625,0.33754059750000071,0.03814697265625,0.29939362484375071,0.0017139525990595734,0,0
20.75,0.34370897827148511,0.03814697265625,0.30556200561523511,0.001752016887345053,0,0
20.875,0.34995151234375071,0.034332275390625,0.31561923695312571,0.001829110147861891,0,0
21,0.35626862967773515,0.041961669921875,0.31430695975586015,0.0017874728842964961,0,0
21.125,0.3626607600000008,0.034332275390625,0.3283284846093758,0.0019052101853610178,0,0
21.25,0.36912833280273522,0.041961669921875,0.32716666288086022,0.0018636004894744403,0,0
21.375,0.37567177734375079,0.034332275390625,0.34133950195312579,0.001981407658974318,0,0
21.5,0.38229152264648519,0.03814697265625,0.34414454999023519,0.0019789782298250858,0,0
21.625,0.38898799750000085,0.049591064453125,0.33939693304687585,0.0019000808460973159,0,0
21.75,0.39576163045898527,0.0457763671875,0.34998526327148527,0.0019820720591487663,0,0
21.875,0.4026128498437509,0.0457763671875,0.3568364826562509,0.002023357404003139,0,0
22,0.40954208374023526,0.0457763671875,0.36376571655273526,0.0020646227331486966,0,0
22.125,0.41654976000000088,0.049591064453125,0.36695869554687588,0.0020668218230976438,0,0
22.25,0.42363630624023529,0.05340576171875,0.37023054452148529,0.00207055042313668,0,0
22.375,0.430802149843751,0.057220458984375,0.373581690859376,0.0020757470155499586,0,0
22.5,0.43804771795898534,0.05340576171875,0.38464195624023534,0.0021604935782233415,0,0
22.625,0.445373437500001,0.057220458984375,0.388152978515626,0.0021654490061367329,0,0
22.75,0.45277973514648534,0.064849853515625,0.38792988163086034,0.0021328037763239426,0,0
22.875,0.46026703734375096,0.064849853515625,0.39541718382812596,0.0021812132517545191,0,0
