Name,YT Scope Project,
File,C:\Users\sakat\source\repos\pylib_sakata-main\experiment\data\time_resp_2mass_nf_pf_20250124.csv,
Starttime of export,133821769025185000,Friday, January 24, 2025,16:21:42.518
Endtime of export,133821769135275000,Friday, January 24, 2025,16:21:53.527


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject,FlagMotionExe
29.125,0.94726876000000215,0.186920166015625,0.76034859398437715,0.002199144019611108,0,0,1
29.25,0.95944727030273669,0.194549560546875,0.76489770975586169,0.002191728880788875,0,0,1
29.375,0.97172863734375214,0.1983642578125,0.77336437953125214,0.0022108221290116472,0,0,1
29.5,0.98411327514648672,0.1983642578125,0.78574901733398672,0.0022530627494771775,0,0,1
29.625,0.99660159750000221,0.20599365234375,0.79060794515625221,0.0022511445093993444,0,0,1
29.75,1.0091940179589867,0.209808349609375,0.79938566834961167,0.0022764395726146735,0,0,1
29.875,1.0218909498437523,0.20599365234375,0.81589729750000228,0.00234656002787468,0,0,1
30,1.0346928062402365,0.213623046875,0.82106975936523652,0.0023476982405322214,0,0,1
30.125,1.0476000000000023,0.22125244140625,0.82634755859375231,0.0023546528651149849,0,0,1
30.25,1.0606129437402367,0.2288818359375,0.83173110780273674,0.0023664827384637967,0,0,1
30.375,1.0737320498437524,0.232696533203125,0.84103551664062737,0.0024035089776596797,0,0,1
30.5,1.086957730458987,0.2288818359375,0.858075894521487,0.0024828261190630641,0,0,1
30.625,1.1002903975000027,0.240325927734375,0.85996446976562768,0.0024689107117426149,0,0,1
30.75,1.113730462646487,0.244140625,0.869589837646487,0.0025040476599609979,0,0,1
30.875,1.1272783373437525,0.255584716796875,0.87169362054687749,0.0024947313961232753,0,0,1
31,1.1409344328027369,0.255584716796875,0.88534971600586188,0.0025543848426787283,0,0,1
31.125,1.1546991600000025,0.2593994140625,0.8952997459375025,0.0025864578061939158,0,0,1
31.25,1.1685729296777367,0.270843505859375,0.89772942381836174,0.002573383182580265,0,0,1
31.375,1.1825561523437527,0.270843505859375,0.91171264648437766,0.0026290728332945133,0,0,1
31.5,1.1966492382714868,0.274658203125,0.92199103514648684,0.0026574209274860534,0,0,1
31.625,1.2108525975000026,0.278472900390625,0.93237969710937763,0.0026841328565631426,0,0,1
31.75,1.2251666398339869,0.28228759765625,0.94287904217773688,0.0027098384261331847,0,0,1
31.875,1.2395917748437524,0.286102294921875,0.95348947992187738,0.002735179054378944,0,0,1
32,1.2541284118652369,0.286102294921875,0.96802611694336194,0.0027822048380414448,0,0,1
32.125,1.2687769600000027,0.29754638671875,0.97123057328125273,0.0027624708406215111,0,0,1
32.25,1.283537828115237,0.301361083984375,0.982176744130862,0.0027937337468109,0,0,1
32.375,1.2984114248437526,0.30517578125,0.9932356435937526,0.0028257611874154894,0,0,1
32.5,1.3133981585839871,0.31280517578125,1.0005929828027371,0.0028370884241867844,0,0,1
32.625,1.3284984375000026,0.3204345703125,1.0080638671875026,0.00285223413307567,0,0,1
32.75,1.3437126695214872,0.324249267578125,1.0194634019433622,0.0028918488541430395,0,0,1
32.875,1.3590412623437529,0.331878662109375,1.0271626002343779,0.002908991168782384,0,0,1
33,1.374484623427737,0.339508056640625,1.034976566787112,0.0029280287830496772,0,0,1
33.125,1.3900431600000029,0.34332275390625,1.0467204060937529,0.0029696318413425867,0,0,1
33.25,1.405717279052737,0.347137451171875,1.058579827880862,0.0030084808230102346,0,0,1
33.375,1.4215073873437529,0.35858154296875,1.0629258443750029,0.0030017306162909811,0,0,1
33.5,1.4374138913964873,0.35858154296875,1.0788323484277373,0.0030631936847675704,0,0,1
33.625,1.4534371975000031,0.37384033203125,1.0795968654687531,0.0030323461190028987,0,0,1
33.75,1.4695777117089874,0.3814697265625,1.0881079851464874,0.0030515712334532345,0,0,1
33.875,1.485835839843753,0.385284423828125,1.100551416015628,0.0030917660780486315,0,0,1
34,1.5022119874902375,0.38909912109375,1.1131128663964875,0.0031281987515580003,0,0,1
34.125,1.5187065600000032,0.396728515625,1.1219780443750032,0.0031400733213746714,0,0,1
34.25,1.5353199624902376,0.400543212890625,1.1347767495996126,0.003174256832337484,0,0,1
34.375,1.5520525998437531,0.408172607421875,1.1438799924218781,0.0031849234012918878,0,0,1
34.5,1.5689048767089875,0.41961669921875,1.1492881774902375,0.0031760555449572236,0,0,1
34.625,1.585877197500003,0.423431396484375,1.162445801015628,0.0032153108960901815,0,0,1
34.75,1.6029699663964876,0.42724609375,1.1757238726464876,0.0032528485072518838,0,0,1
34.875,1.6201835873437533,0.4425048828125,1.1776787045312533,0.0032248335071087819,0,0,1
35,1.6375184640527376,0.446319580078125,1.1911988839746126,0.0032699562569544613,0,0,1
35.125,1.6549750000000032,0.453948974609375,1.2010260253906282,0.0032914754828617036,0,0,1
35.25,1.6725535984277375,0.457763671875,1.2147899265527375,0.0033357299503821588,0,0,1
